# $Id$
#
# file format:
# date, yyyymmdd <whitespace> text
#  text is continued on the next line if the next line starts
#  with whitespace.
#
# 
19990802    Phl Monger Dinner:  <A HREF="http://restaurants.yahoo.com/restaurants/Pennsylvania/Cities/Philadelphia/Asian/2025296.html">Tandoor India</A>, (106 south 40th) 40th and Chestnut, 7pm.
19990809    Perl Reading Group: 
	The Perl Cookbook, Chapter 11, References and Records
	Marathon Grill, 16th and Sansom, 7pm
19990816    Technical Presentation: Administring Sybase With Perl
    presented by Abigail
    ISI, 34th and Market, 7pm
-19990821    The Perl Conference #3, Monterey, California
-19990822    The Perl Conference #3, Monterey, California
-19990823    The Perl Conference #3, Monterey, California
-19990824    The Perl Conference #3, Monterey, California
19990823    Perl Reading Group: 
    The Perl Cookbook, Chapter 12, Packages, Libraries and Modules
    Marathon Grill, 16th and Sansom, 7pm
19990828	Abigail's <A HREF="emails/abigail_bday1.html">Celebration</A> of 1136073600 seconds of existence.
	his house.  "Evening".  <A HREF="emails/abigail_bday2.html">Directions to his house</A>
19990906	Labor Day.  (End of summer.)  (No perl)
19990922	Technical Talk: Mark Dominus's <A HREF="misc/dominus.turoff.990831.html">Strong Typing</A>
19991004	Dinner: <A HREF="http://yp.yahoo.com/py/ypMap.py?Pyt=Typ&YY=17598&city=Philadelphia&state=PA&country=US&zip=19019&stx=penang&stp=a&ad=2500&ycat=&l=9&tuid=11160185&tq=8&btype=default">Penang</A>, Malaysian Cuisine, 117 N 10th Street, 7pm
19991017	Perl 5's 5th Birthday
19991018	Technical Talk: Abigail's Introduction to Recursive Descent Parsing.  (7:30pm -- with stl.pm and boston.pm)
19991115	Technical Talk: Perl, CGI and the Human Genome (Lincoln Stein not included)
		by R. Geoffrey Avery (7pm, ISI) <SMALL><A HREF="misc/geoff.genome.991108.html">abstract</A></SMALL>

19991122 	<B>Reading Group:</B> Object Oriented Perl by Damian Conway,
	Marathon Grill, 16th and Sansom, 7pm.  
	Ziggy Says: <I>Please come with any questions, observations, or other thoughts you may have on Damian's book and OOP in Perl.  We've _all_ been busy or otherwise detained in recent weeks.  Don't feel bad if you've missed a few meetings over the last few weeks, just show up and join in!</I>

19991126	Perl Mongers in London!
19991127	Perl Mongers in London!
19991128	Perl Mongers in London!
19991129	Perl Mongers in London!

19991206	XML'99 is in town this week, so it's time for chopsticks and some 
 random asian cuisine.  This month's dinner meeting will be 7pm Monday
 at: Vietnam Restaurant, Chinatown, 221 N 11th St, Philadelphia, PA 19107.
 Special guests, Clark Cooper and Dale Dougherty will be joining us.  
 See Adam's <A HREF="emails/ziggy_xml_dinner.html">announcement email</A>.

19991231	The NON-Milennial bash
20000101	NOT the first day of the next millenium.
20000124	Next phl.pm meeting..  Techncal.. Yes.. Tech Talk.. More info to be announced if we make it past Y2K. 
#20010101	2001
20000110	Dinner at Nodding Head Brewpub, 1516 Sansom, 7pm.
	Probably still has Sam Adams sign outside.
20000124	Tech Talk: 4 x 15 minute quicky presentations.
	Presenters: Geoff, Mark, Walt, Robert
20000131	Reading Group: Extreme Programming Explained
20000207	Dinner Meeting at...  
20000221	Tech Meeting Postponed:  Geoff's "Time to test the DVDs" party
20000228	Hao talking about why he hates PHP... er..
	Perl vs. PHP
20000306	Dinner Meeting at <B>Dmitri's</B>.  Northeast corner of 12th and Locust.  <FONT COLOR="RED">Change of Location!!</FONT>
#20000306	Dinner Meeting at <A HREF='http://restaurants.yahoo.com/restaurants/Pennsylvania/Cities/Philadelphia/Brazilian/2027857.html'>Brazil</A>.. (maybe free stuff from techies.com)	
20000320 	Tech Talk: Abigail talking about 'japhs'.
	ISI, 3501 Market St.  7pm
# these are spaceholders for lazy coding
20000327	Reading Group?
20000403	Dinner Meeting:  7pm 
	our $defaults{restaurant}=
	<B>The Nodding Head</B>
	1516 Sansom St
20000417 	Tech Talk: ... TBA ...
20000508	Dinner Meeting: Tandoor India
#20000515	Tech Talk: Adam on the DocBook XML DTD
20000525	Reading Group: First 2 draft chapters of PATH (by mjd)
	http://www.plover.com/~mjd/perl
	Nodding Head, 7pm
20000529	Perl Whirl Alaskan Cruise: Leaves Vancouver
20000605	Perl Whirl Alaskan Cruise: Returns to Vancouver
20000612	Dinner Meeting:  Bowling at Jillians @ Franklin Mills
	courtesy of Geoff's good luck.  
20000621	YAPC 19100 (http://www.yapc.org/America)
20000622	YAPC 19100
20000623	YAPC 19100
20000626	Tech Talk: What I learned at YAPC 19100
#20000703	First Monday Meeting Postponed
20000703	Get an extra day off from work day.
20000704	July 4th
20000710	Dinner Meeting: ... TBA ...
20000717	The Perl Conference 4.0, Monterey, California
20000718	The Perl Conference 4.0, Monterey, California
20000719	The Perl Conference 4.0, Monterey, California
20000720	The Perl Conference 4.0, Monterey, California
20000724	Tech Talk: Walt on Mail::Audit
20000807	Dinner Meeting: Location To Be Decided
#20000807        Dinner Meeting: Prego
#	10 S. 2nd St
#	Italian Food
